93,2732,0B-04-1201,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Single19mm x 25mm x 5m;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
94,2733,0B-05-1001,"Architectural, Ceiling Grid Components and Frames - Furring W-Clip - Metal0.40mm",Unit,Ceiling Grid Components and Frames,0-Architectural,1
95,14590,0B-06-0100,"Architectural, Ceiling Grid Components and Frames - Furring Clip - Single",Unit,Ceiling Grid Components and Frames,0-Architectural,1
96,24184,0B-06-2104,"Architectural, Ceiling Grid Components and Frames - Channel - U Channel,Aluminum - .5"" x 10ft",Length,Ceiling Grid Components and Frames,0-Architectural,1
97,2734,0B-07-0011,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - , Pre-painted,  1"" x 1"" x 10' ;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
98,2735,0B-07-0021,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - , White powdercoated, 1""(25mm)x1""(25mm)x12'",Length,Ceiling Grid Components and Frames,0-Architectural,1
99,24056,0B-07-0022,"Architectural, Ceiling Grid Components and Frames - Wall Angle - White powdercoated, 1""x1""x10' T=0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
100,2736,0B-07-0101,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - PVC Shadowline15mm x 8mm x 3m",Length,Ceiling Grid Components and Frames,0-Architectural,1
101,2737,0B-07-0201,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Acoustic Shadowline 1x1x1ft",Length,Ceiling Grid Components and Frames,0-Architectural,1
102,2738,0B-07-1001,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum 1"" x 1"" x 10' ;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
103,2740,0B-07-1003,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum1""(25mm) x 1""(25mm) x 8' ;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
104,2741,0B-07-1004,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum 24mm x 24mm x 12':Gauge 0.26mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
105,2742,0B-07-1005,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum25mm x 25mm x 3m;Gauge 26",Length,Ceiling Grid Components and Frames,0-Architectural,1
106,2743,0B-07-1006,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum 1"" x 1"" x 10'",Length,Ceiling Grid Components and Frames,0-Architectural,1
107,2744,0B-07-1007,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum1""x1""x12 ft",Length,Ceiling Grid Components and Frames,0-Architectural,1
108,2745,0B-07-1008,"Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum 25mmx25mmx3m;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
